"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [°C]","1: Peltier power [%]"
24.10,"","","",212.6083,3.8089,221.0517,4.7009,37.0020,14.2050
24.13,"","","",212.5820,3.9902,221.0535,4.7949,37.0010,14.1940
24.17,"","","",212.5856,4.2623,221.0705,4.7949,37.0000,14.2140
24.20,"","","",212.5974,4.3530,221.0958,4.7949,37.0010,14.1870
24.23,"","","",212.6237,4.3530,221.0404,4.8889,37.0010,14.1680
24.27,"","","",212.6056,4.3530,221.0479,4.9830,36.9990,14.1970
24.30,"","","",212.5566,4.3530,221.0357,5.1710,37.0000,14.1840
24.33,"","","",212.5457,4.3530,221.0479,5.2650,37.0000,14.1630
24.37,"","","",212.5339,4.5344,221.0263,5.3590,37.0000,14.1900
24.40,"","","",212.4904,4.7157,221.0648,5.2650,37.0000,14.1780
24.43,"","","",212.5013,4.8064,221.0028,5.3590,37.0000,14.1750
24.47,"","","",212.5539,4.8064,220.9830,5.3590,37.0010,14.1460
24.50,"","","",212.5902,4.7157,220.9952,5.3590,37.0010,14.1100
24.53,"","","",212.5575,4.7157,220.9971,5.4531,37.0020,14.0780
24.57,"","","",212.5122,4.7157,221.0056,5.3590,37.0020,14.0480
24.60,"","","",212.5031,4.7157,220.9764,5.3590,37.0000,14.0490
24.63,"","","",212.5158,4.7157,220.9783,5.3590,37.0000,14.0820
24.67,"","","",212.4895,4.8064,220.9943,5.2650,37.0000,14.1020
24.70,"","","",212.4813,4.8064,220.9586,5.0770,37.0000,14.1230
24.73,"","","",212.4596,4.8064,220.9717,4.9830,37.0000,14.1170
24.77,"","","",212.4396,4.8064,220.9379,4.8889,36.9990,14.1620
24.80,"","","",212.4097,4.8971,220.9304,4.9830,37.0000,14.1430
24.83,"","","",212.3997,4.8971,220.9022,5.0770,36.9990,14.1710
24.87,"","","",212.4287,4.8064,220.9012,4.9830,36.9990,14.2150
24.90,"","","",212.4668,4.7157,220.8533,4.9830,37.0000,14.1950
24.93,"","","",212.4006,4.7157,220.8307,5.0770,37.0010,14.1660
24.97,"","","",212.3435,4.8064,220.7969,5.1710,37.0010,14.1390
25.00,"","","",212.3761,4.8064,220.8128,5.2650,37.0010,14.1120
25.03,"","","",212.3988,4.7157,220.8138,5.2650,37.0020,14.0660
25.07,"","","",212.4024,4.6251,220.7969,5.2650,37.0000,14.0690
25.10,"","","",212.4206,4.4437,220.7997,5.3590,36.9990,14.1100
25.13,"","","",212.4197,4.1716,220.7893,5.3590,36.9990,14.1330
25.17,"","","",212.3789,4.0809,220.7752,5.3590,36.9980,14.1650
25.20,"","","",212.3344,4.1716,220.8091,5.3590,36.9990,14.1790
25.23,"","","",212.2936,4.1716,220.8533,5.0770,36.9990,14.2110
25.27,"","","",212.2963,4.1716,220.8091,4.9830,37.0000,14.2150
25.30,"","","",212.3036,4.1716,220.7508,4.8889,37.0010,14.1620
25.33,"","","",212.3054,4.1716,220.7414,4.7949,37.0030,14.1220
25.37,"","","",212.3145,4.1716,220.7113,4.7009,37.0020,14.1170
25.40,"","","",212.3136,4.0809,220.7423,4.7009,37.0010,14.0980
25.43,"","","",212.3109,4.0809,220.7169,4.7949,37.0010,14.0690
25.47,"","","",212.2836,4.1716,220.7179,4.8889,37.0010,14.0460
25.50,"","","",212.3172,4.0809,220.7085,4.9830,36.9990,14.0730
25.53,"","","",212.3072,4.0809,220.6756,4.9830,36.9990,14.1000
25.57,"","","",212.2945,3.8996,220.6605,5.0770,37.0010,14.0620
25.60,"","","",212.2755,3.8089,220.7094,4.9830,37.0000,14.0590
25.63,"","","",212.2274,3.8996,220.6417,5.0770,36.9990,14.1090
25.67,"","","",212.2202,3.9902,220.6286,5.1710,37.0000,14.1020
25.70,"","","",212.2183,3.9902,220.5938,5.2650,37.0010,14.0540
25.73,"","","",212.2138,4.1716,220.5919,5.2650,36.9990,14.1010
25.77,"","","",212.2120,4.2623,220.5957,5.2650,36.9990,14.1060
25.80,"","","",212.2292,4.1716,220.6116,5.3590,37.0000,14.0880
25.83,"","","",212.2764,3.8996,220.6192,5.2650,37.0000,14.0830
25.87,"","","",212.2610,3.7182,220.6107,5.2650,37.0000,14.0860
25.90,"","","",212.2292,3.6275,220.5816,5.1710,36.9990,14.1170
25.93,"","","",212.2102,3.5368,220.5214,5.2650,36.9990,14.1400
25.97,"","","",212.1685,3.5368,220.5157,5.2650,37.0000,14.1150
26.00,"","","",212.1549,3.5368,220.5524,5.1710,37.0000,14.1110
26.03,"","","",212.1966,3.4461,220.4988,5.1710,37.0010,14.0780
26.07,"","","",212.1884,3.3554,220.4894,5.1710,37.0000,14.0960
26.10,"","","",212.1349,3.4461,220.5505,4.9830,37.0010,14.0690
26.13,"","","",212.1358,3.5368,220.5157,4.9830,37.0000,14.0940
26.17,"","","",212.1730,3.5368,220.5233,4.8889,37.0000,14.0860
26.20,"","","",212.1748,3.4461,220.5223,4.7009,37.0000,14.0870
26.23,"","","",212.1503,3.3554,220.4753,4.7949,37.0000,14.0910
26.27,"","","",212.1549,3.2647,220.4706,4.7949,36.9990,14.1020
26.30,"","","",212.1258,3.3554,220.4781,4.8889,37.0000,14.1180
26.33,"","","",212.0878,3.4461,220.4819,4.8889,36.9990,14.1590
26.37,"","","",212.0651,3.5368,220.4161,4.9830,37.0000,14.1710
26.40,"","","",212.0179,3.6275,220.4180,4.9830,37.0010,14.1210
26.43,"","","",212.0279,3.7182,220.4481,4.9830,37.0010,14.0890
26.47,"","","",212.0606,3.6275,220.4029,5.0770,37.0010,14.0810
26.50,"","","",212.0406,3.6275,220.4057,5.0770,37.0010,14.0450
26.53,"","","",212.0225,3.7182,220.3973,4.9830,37.0000,14.0470
26.57,"","","",212.0433,3.8089,220.3672,4.8889,36.9990,14.0720
26.60,"","","",212.0089,3.9902,220.3813,4.7949,36.9990,14.1050
26.63,"","","",211.9753,4.0809,220.3907,4.7009,37.0000,14.1210
26.67,"","","",211.9971,4.1716,220.3757,4.7009,37.0010,14.0920
26.70,"","","",211.9998,4.2623,220.3606,4.7009,36.9990,14.1380
26.73,"","","",211.9490,4.3530,220.3522,4.6069,37.0000,14.1290
26.77,"","","",211.9336,4.4437,220.3352,4.6069,36.9990,14.1740
26.80,"","","",211.9635,4.5344,220.3136,4.6069,37.0000,14.1640
26.83,"","","",211.9717,4.4437,220.2788,4.6069,37.0020,14.1100
26.87,"","","",211.9699,4.3530,220.2610,4.7009,37.0000,14.1350
26.90,"","","",211.9544,4.3530,220.2854,4.7009,37.0010,14.0960
26.93,"","","",211.9853,4.2623,220.3287,4.5129,37.0010,14.0640
26.97,"","","",211.9880,4.2623,220.2553,4.6069,37.0010,14.0360
27.00,"","","",211.9644,4.2623,220.2835,4.5129,37.0000,14.0230
27.03,"","","",211.8973,4.3530,220.2704,4.6069,37.0000,14.0300
27.07,"","","",211.8756,4.4437,220.2553,4.6069,36.9990,14.0670
27.10,"","","",211.8756,4.6251,220.2544,4.6069,36.9990,14.0890
27.13,"","","",211.8629,4.6251,220.2215,4.6069,37.0000,14.1150
27.17,"","","",211.8647,4.5344,220.1829,4.6069,36.9990,14.1430
27.20,"","","",211.8429,4.5344,220.2271,4.5129,37.0000,14.1290
27.23,"","","",211.7957,4.6251,220.2121,4.5129,37.0010,14.0990
27.27,"","","",211.7694,4.7157,220.1547,4.7009,37.0010,14.0890
27.30,"","","",211.7912,4.8064,220.1472,4.7949,37.0000,14.0630
27.33,"","","",211.7976,4.8971,220.1086,4.8889,37.0010,14.0440
27.37,"","","",211.8066,4.8971,220.1237,5.0770,37.0000,14.0220
27.40,"","","",211.8166,4.8064,220.0927,5.2650,37.0000,14.0180
27.43,"","","",211.8157,4.8064,220.1350,5.1710,36.9990,14.0580
27.47,"","","",211.8230,4.7157,220.1575,5.0770,36.9990,14.0930
27.50,"","","",211.8166,4.6251,220.0945,5.0770,37.0010,14.0500
27.53,"","","",211.7930,4.4437,220.1463,4.9830,37.0010,14.0370
27.57,"","","",211.7876,4.3530,220.1707,4.7949,37.0010,14.0030
27.60,"","","",211.8175,4.0809,220.1444,4.7009,36.9990,14.0510
27.63,"","","",211.8139,3.8996,220.1500,4.6069,37.0000,14.0190
27.67,"","","",211.7613,3.8996,220.1237,4.4189,37.0010,13.9810
27.70,"","","",211.7087,3.9902,220.0833,4.5129,37.0000,13.9820
27.73,"","","",211.6760,4.1716,220.0720,4.5129,37.0000,13.9690
27.77,"","","",211.6534,4.3530,220.0692,4.4189,37.0010,13.9320
27.80,"","","",211.6815,4.3530,220.0983,4.3248,37.0000,13.9620
27.83,"","","",211.7295,4.2623,220.0494,4.3248,36.9980,13.9940
27.87,"","","",211.7359,4.1716,220.0522,4.2308,36.9990,14.0230
27.90,"","","",211.7404,4.0809,220.0579,4.2308,36.9980,14.0860
27.93,"","","",211.7259,3.9902,220.0033,4.2308,36.9980,14.0960
27.97,"","","",211.6887,3.9902,220.0175,4.2308,36.9990,14.1150
28.00,"","","",211.6869,3.9902,219.9930,4.1368,37.0000,14.1230
28.03,"","","",211.6516,3.9902,220.0334,4.0428,37.0010,14.0980
28.07,"","","",211.6642,3.9902,220.0344,3.9488,37.0010,14.0600
28.10,"","","",211.6706,4.0809,220.0231,3.8547,37.0020,14.0290
28.13,"","","",211.6452,3.9902,220.0259,3.7607,37.0000,14.0560
28.17,"","","",211.5962,4.0809,220.0090,3.7607,37.0010,14.0190
28.20,"","","",211.5763,4.0809,219.9996,3.7607,37.0010,13.9830
28.23,"","","",211.5781,4.1716,220.0052,3.6667,37.0000,14.0070
28.27,"","","",211.5817,4.0809,219.9761,3.5727,36.9990,14.0440
28.30,"","","",211.5636,3.9902,220.0015,3.4787,36.9990,14.0660
28.33,"","","",211.5727,3.8996,219.9281,3.4787,37.0000,14.0780
28.37,"","","",211.5745,3.8996,219.8445,3.5727,37.0000,14.0870
28.40,"","","",211.5137,3.9902,219.8416,3.6667,37.0000,14.0920
28.43,"","","",211.4992,4.0809,219.8567,3.7607,37.0000,14.0700
28.47,"","","",211.5119,4.1716,219.8717,3.8547,37.0020,14.0270
28.50,"","","",211.5128,4.2623,219.8971,3.8547,37.0010,14.0150
28.53,"","","",211.5137,4.2623,219.8708,3.8547,36.9990,14.0440
28.57,"","","",211.5164,4.3530,219.9009,3.7607,37.0000,14.0420
28.60,"","","",211.5083,4.5344,219.8764,3.8547,37.0000,14.0370
28.63,"","","",211.5173,4.5344,219.8971,3.8547,36.9990,14.0790
28.67,"","","",211.5309,4.5344,219.8727,3.9488,36.9990,14.0880
28.70,"","","",211.5055,4.5344,219.8858,4.0428,37.0000,14.0850
28.73,"","","",211.4965,4.5344,219.8802,4.0428,37.0010,14.0500
28.77,"","","",211.5028,4.4437,219.9065,4.0428,37.0010,14.0200
28.80,"","","",211.5182,4.3530,219.8548,3.9488,37.0010,13.9980
28.83,"","","",211.5092,4.1716,219.8294,4.0428,37.0020,13.9390
28.87,"","","",211.4738,4.0809,219.8275,4.0428,37.0020,13.9200
28.90,"","","",211.4493,4.0809,219.7730,4.0428,37.0000,13.9440
28.93,"","","",211.4529,3.8996,219.8021,3.9488,36.9990,13.9820
28.97,"","","",211.4357,3.8089,219.7598,3.9488,36.9990,14.0060
29.00,"","","",211.4330,3.7182,219.7542,3.9488,36.9980,14.0410
29.03,"","","",211.4221,3.8089,219.7749,4.0428,36.9990,14.0640
29.07,"","","",211.3949,3.8996,219.7232,4.1368,37.0000,14.0550
29.10,"","","",211.3940,4.0809,219.6912,4.2308,37.0010,14.0310
29.13,"","","",211.4040,4.0809,219.7185,4.2308,37.0020,14.0090
29.17,"","","",211.3849,4.0809,219.7674,4.2308,37.0000,13.9940
29.20,"","","",211.3550,3.9902,219.7429,4.2308,37.0010,13.9490
29.23,"","","",211.3586,3.8996,219.7627,4.1368,36.9990,13.9890
29.27,"","","",211.3650,3.8089,219.7514,4.1368,36.9990,14.0130
29.30,"","","",211.3822,3.7182,219.6978,4.1368,36.9990,14.0430
29.33,"","","",211.4076,3.5368,219.6301,4.3248,37.0000,14.0230
29.37,"","","",211.3931,3.4461,219.6414,4.4189,37.0020,13.9760
29.40,"","","",211.3233,3.4461,219.6329,4.4189,37.0000,14.0120
29.43,"","","",211.3224,3.3554,219.6414,4.4189,37.0000,14.0250
29.47,"","","",211.3378,3.2647,219.6668,4.3248,37.0000,14.0540
29.50,"","","",211.3024,3.3554,219.6489,4.3248,37.0020,14.0110
29.53,"","","",211.3196,3.3554,219.6639,4.2308,37.0030,13.9730
29.57,"","","",211.3233,3.3554,219.6545,4.0428,37.0010,13.9690
29.60,"","","",211.2979,3.3554,219.6367,4.0428,37.0020,13.9320
29.63,"","","",211.2589,3.4461,219.6113,3.9488,37.0010,13.9220
29.67,"","","",211.2625,3.5368,219.6122,3.9488,36.9990,13.9600
29.70,"","","",211.2707,3.5368,219.5549,4.1368,36.9980,14.0020
29.73,"","","",211.2725,3.6275,219.5201,4.4189,36.9980,14.0320
29.77,"","","",211.2607,3.7182,219.5389,4.6069,36.9980,14.0570
29.80,"","","",211.2398,3.8089,219.6122,4.6069,36.9990,14.0530
29.83,"","","",211.2199,3.8996,219.6498,4.4189,37.0000,14.0800
29.87,"","","",211.1927,3.9902,219.6179,4.4189,37.0000,14.0610
29.90,"","","",211.1600,4.1716,219.5765,4.3248,37.0020,14.0310
29.93,"","","",211.1573,4.3530,219.5116,4.4189,37.0000,14.0590
29.97,"","","",211.1546,4.4437,219.4317,4.5129,37.0000,14.0500
30.00,"light on","Both","",211.1491,4.4437,219.3659,4.7949,37.0000,14.0500
30.03,"","","",211.1337,4.5344,219.2954,5.0770,36.9990,14.0710
30.07,"","","",211.1301,4.6251,219.2192,5.5471,37.0000,14.0730
30.10,"","","",211.1591,4.5344,219.0650,6.1112,37.0010,14.0370
30.13,"","","",211.1491,4.5344,218.9842,6.8633,37.0020,14.0040
30.17,"","","",211.0802,4.5344,218.8751,7.8035,37.0020,13.9490
30.20,"","","",211.0113,4.7157,218.8356,8.6497,37.0020,13.9450
30.23,"","","",211.0131,4.8971,218.7153,9.7779,37.0010,13.9300
30.27,"","","",211.0385,4.9878,218.6222,11.0001,37.0000,13.9160
30.30,"","","",211.0503,5.0785,218.5009,12.3164,36.9990,13.9480
30.33,"","","",211.0748,5.0785,218.4050,13.7266,37.0000,13.9760
30.37,"","","",211.0675,5.0785,218.3054,15.1369,37.0000,13.9940
30.40,"","","",211.0258,5.1692,218.2067,16.7352,36.9990,14.0060
30.43,"","","",210.9687,5.3506,218.1352,18.3335,36.9990,14.0460
30.47,"","","",210.9206,5.5319,218.0233,20.0259,37.0000,14.0270
30.50,"","","",210.9188,5.7133,217.9321,21.5302,37.0020,13.9600
30.53,"","","",210.9777,5.8040,217.8268,23.1285,37.0020,13.9440
30.57,"","","",210.9832,5.8947,217.7262,24.7268,37.0020,13.9250
30.60,"","","",210.9369,5.8947,217.5974,26.3251,37.0000,13.9310
30.63,"","","",210.9514,5.8947,217.4949,28.1114,37.0010,13.8790
30.67,"","","",210.9360,5.8040,217.4197,29.8978,37.0010,13.8770
30.70,"","","",210.8925,5.8040,217.2665,31.6841,36.9990,13.9300
30.73,"","","",210.8925,5.8947,217.1189,33.5645,36.9970,13.9590
30.77,"","","",210.8707,5.9854,217.0023,35.4448,37.0000,13.9520
30.80,"","","",210.8698,5.9854,216.9327,37.1372,37.0010,13.9200
30.83,"","","",210.8508,5.9854,216.8716,38.7355,37.0000,13.9270
30.87,"","","",210.8027,6.0761,216.7889,40.2398,37.0000,13.9270
30.90,"","","",210.8109,6.0761,216.6713,41.6500,37.0010,13.8890
30.93,"","","",210.8263,6.0761,216.5125,43.0603,37.0010,13.8660
30.97,"","","",210.8000,6.0761,216.3874,44.5646,37.0010,13.8470
31.00,"","","",210.7773,6.1667,216.2107,45.9749,37.0000,13.8590
31.03,"","","",210.7501,6.1667,216.1561,47.2911,37.0000,13.8690
31.07,"","","",210.7238,6.1667,216.0527,48.6074,37.0010,13.8400
31.10,"","","",210.7438,6.1667,215.9286,49.7356,37.0010,13.7980
31.13,"","","",210.7447,6.0761,215.8318,50.5818,37.0000,13.8000
31.17,"","","",210.7601,5.9854,215.6644,51.3339,37.0020,13.7480
31.20,"","","",210.7537,5.9854,215.5525,51.9920,37.0010,13.7240
31.23,"","","",210.7302,5.9854,215.4416,52.4621,37.0010,13.7160
31.27,"","","",210.7320,5.8947,215.3278,52.9322,36.9990,13.7740
31.30,"","","",210.7256,5.8040,215.2075,53.4023,36.9980,13.8030
31.33,"","","",210.7401,5.7133,215.0881,53.7784,36.9980,13.8210
31.37,"","","",210.6730,5.7133,214.9254,54.2485,36.9990,13.8410
31.40,"","","",210.6368,5.7133,214.8277,54.6245,37.0000,13.8280
31.43,"","","",210.6286,5.7133,214.7524,55.0006,37.0000,13.8560
31.47,"","","",210.6077,5.6226,214.6180,55.3767,37.0000,13.8490
31.50,"","","",210.6159,5.6226,214.4845,55.7527,37.0010,13.8260
31.53,"","","",210.6096,5.8040,214.3914,56.0348,37.0010,13.7940
31.57,"","","",210.5887,5.8947,214.2955,56.2228,37.0000,13.8210
31.60,"","","",210.5660,5.8947,214.1545,56.5049,37.0010,13.7870
31.63,"","","",210.5570,5.9854,213.9899,56.8810,37.0000,13.7590
31.67,"","","",210.5606,5.8947,213.8687,57.2570,37.0000,13.7830
31.70,"","","",210.5479,5.8040,213.7615,57.5391,36.9990,13.8130
31.73,"","","",210.5125,5.8040,213.5979,57.9152,37.0010,13.7650
31.77,"","","",210.5361,5.8040,213.4860,58.1972,37.0000,13.7450
31.80,"","","",210.5470,5.8040,213.3854,58.4793,37.0010,13.7210
31.83,"","","",210.4908,5.9854,213.2087,58.7613,37.0000,13.7320
31.87,"","","",210.4409,5.9854,213.1109,59.0434,37.0000,13.7310
31.90,"","","",210.4536,5.9854,212.9999,59.2314,37.0010,13.7060
31.93,"","","",210.4372,5.9854,212.8476,59.5135,37.0000,13.7260
31.97,"","","",210.4001,6.0761,212.7376,59.7955,36.9990,13.7780
32.00,"","","",210.3375,6.1667,212.5957,59.9836,37.0000,13.7460
32.03,"","","",210.3330,6.3481,212.4104,60.3596,37.0000,13.7480
32.07,"","","",210.3973,6.3481,212.2779,60.8297,36.9980,13.8000
32.10,"","","",210.4382,6.2574,212.1387,61.2998,37.0000,13.8150
32.13,"","","",210.4110,6.1667,211.9911,61.6759,37.0010,13.7640
32.17,"","","",210.3683,6.1667,211.8134,62.1460,37.0030,13.7310
32.20,"","","",210.3221,6.3481,211.7692,62.2400,37.0010,13.7380
32.23,"","","",210.2849,6.4388,211.6696,62.4280,37.0010,13.7090
32.27,"","","",210.2912,6.5295,211.5013,62.6161,37.0000,13.6900
32.30,"","","",210.3311,6.4388,211.3518,62.8981,37.0000,13.7220
32.33,"","","",210.3375,6.4388,211.2117,63.3682,36.9990,13.7540
32.37,"","","",210.3194,6.4388,211.0444,63.7443,37.0000,13.7670
32.40,"","","",210.2396,6.6202,210.9485,64.0263,37.0000,13.7800
32.43,"","","",210.1879,6.8016,210.8131,64.2144,37.0010,13.7280
32.47,"","","",210.2114,6.8922,210.6683,64.4964,37.0010,13.7100
32.50,"","","",210.1996,6.8922,210.5197,64.8725,37.0000,13.7180
32.53,"","","",210.1733,6.8922,210.4267,65.0605,37.0020,13.6540
32.57,"","","",210.1996,6.8922,210.3355,65.2486,37.0000,13.6660
32.60,"","","",210.2296,6.7109,210.1832,65.3426,37.0010,13.6250
32.63,"","","",210.2205,6.5295,210.0073,65.6247,37.0010,13.5900
32.67,"","","",210.2078,6.3481,209.8306,65.9067,37.0020,13.5620
32.70,"","","",210.1897,6.2574,209.6623,66.3768,37.0010,13.5290
32.73,"","","",210.1770,6.1667,209.5128,66.7529,36.9980,13.5940
32.77,"","","",210.1652,6.1667,209.4103,66.9409,36.9990,13.6040
32.80,"","","",210.0999,6.2574,209.2759,67.2230,36.9990,13.6170
32.83,"","","",210.0999,6.1667,209.1668,67.4110,37.0000,13.6330
32.87,"","","",210.1316,6.0761,209.0314,67.5050,37.0010,13.6090
32.90,"","","",210.1316,5.9854,208.9158,67.5050,37.0010,13.5750
32.93,"","","",210.0945,5.9854,208.7296,67.5990,37.0010,13.5400
32.97,"","","",210.0600,5.9854,208.5322,67.8811,37.0000,13.5210
33.00,"","","",210.0246,5.9854,208.4006,68.1631,36.9990,13.5590
33.03,"","","",210.0192,5.9854,208.2511,68.3512,36.9990,13.6010
33.07,"","","",210.0437,5.9854,208.1486,68.5392,36.9990,13.6170
33.10,"","","",210.0382,5.8947,208.0461,68.6332,37.0000,13.6130
33.13,"","","",210.0092,5.7133,207.9248,68.6332,37.0010,13.5840
33.17,"","","",209.9847,5.7133,207.7829,68.7272,37.0000,13.5670
33.20,"","","",209.9466,5.8040,207.5770,68.9153,37.0000,13.5930
33.23,"","","",209.9131,5.8947,207.4482,68.9153,37.0000,13.6220
33.27,"","","",209.9167,5.9854,207.3175,69.0093,37.0000,13.6200
33.30,"","","",209.9140,6.0761,207.1511,69.1033,37.0010,13.5860
33.33,"","","",209.9040,6.2574,206.9875,69.1973,37.0010,13.5500
33.37,"","","",209.9004,6.3481,206.8869,69.3854,37.0010,13.5300
33.40,"","","",209.8541,6.4388,206.7355,69.4794,37.0000,13.5530
33.43,"","","",209.8505,6.4388,206.6217,69.6674,37.0000,13.5460
33.47,"","","",209.8523,6.3481,206.5070,69.7614,37.0000,13.5130
33.50,"","","",209.8478,6.3481,206.3651,69.8555,37.0010,13.4900
33.53,"","","",209.8541,6.3481,206.2184,69.9495,37.0000,13.5090
33.57,"","","",209.8387,6.4388,206.0454,69.9495,36.9990,13.5420
33.60,"","","",209.8260,6.5295,205.8987,69.9495,36.9980,13.5900
33.63,"","","",209.7952,6.4388,205.7464,70.0435,36.9990,13.5880
33.67,"","","",209.7562,6.4388,205.5923,70.2315,37.0000,13.6090
33.70,"","","",209.7725,6.3481,205.4174,70.4196,37.0010,13.5750
33.73,"","","",209.8006,6.3481,205.2961,70.6076,37.0020,13.5470
33.77,"","","",209.7825,6.4388,205.1588,70.7016,37.0010,13.5390
33.80,"","","",209.7607,6.5295,205.0131,70.7956,37.0000,13.5250
33.83,"","","",209.7154,6.6202,204.8683,70.9837,37.0000,13.5130
33.87,"","","",209.6918,6.7109,204.6624,71.0777,36.9980,13.5650
33.90,"","","",209.7009,6.8016,204.5327,71.1717,36.9990,13.5730
33.93,"","","",209.6610,6.8016,204.3719,71.2657,37.0000,13.5810
33.97,"","","",209.6356,6.8016,204.2280,71.3598,36.9990,13.6090
34.00,"","","",209.6419,6.7109,204.0645,71.5478,37.0000,13.5930
34.03,"","","",209.6192,6.7109,203.9375,71.8298,37.0010,13.5670
34.07,"","","",209.5939,6.7109,203.7655,72.1119,37.0000,13.5660
34.10,"","","",209.6047,6.7109,203.6433,72.3940,37.0000,13.5760
34.13,"","","",209.6301,6.7109,203.5248,72.4880,37.0000,13.5560
34.17,"","","",209.6410,6.6202,203.3687,72.5820,37.0010,13.5300
34.20,"","","",209.6038,6.5295,203.2456,72.5820,37.0010,13.4880
34.23,"","","",209.5612,6.4388,203.0820,72.5820,37.0000,13.4840
34.27,"","","",209.5376,6.4388,202.9814,72.5820,37.0000,13.4980
34.30,"","","",209.5404,6.3481,202.7811,72.7700,37.0000,13.5090
34.33,"","","",209.5141,6.4388,202.6166,73.0521,37.0010,13.4760
34.37,"","","",209.5104,6.4388,202.4821,73.2401,37.0010,13.4600
34.40,"","","",209.5004,6.4388,202.3232,73.4282,36.9990,13.5050
34.43,"","","",209.4778,6.3481,202.1681,73.5222,36.9980,13.5660
34.47,"","","",209.4497,6.3481,202.0233,73.5222,36.9990,13.5520
34.50,"","","",209.4225,6.3481,201.8757,73.5222,37.0010,13.5200
34.53,"","","",209.4098,6.4388,201.7121,73.7102,37.0000,13.5080
34.57,"","","",209.4216,6.5295,201.5495,73.8982,37.0000,13.5070
34.60,"","","",209.4061,6.6202,201.4649,73.8982,37.0000,13.5160
34.63,"","","",209.3608,6.7109,201.2778,74.0863,37.0000,13.5230
34.67,"","","",209.3526,6.8016,201.1048,74.2743,37.0000,13.5280
34.70,"","","",209.3436,6.8016,200.9600,74.3683,37.0000,13.5400
34.73,"","","",209.3191,6.9829,200.8716,74.3683,37.0010,13.5010
34.77,"","","",209.3472,6.9829,200.7550,74.2743,37.0000,13.5190
34.80,"","","",209.3744,6.9829,200.5895,74.1803,37.0010,13.4900
34.83,"","","",209.3608,6.8922,200.4730,73.9923,37.0010,13.4500
34.87,"","","",209.3145,6.8016,200.3451,73.7102,37.0010,13.4320
34.90,"","","",209.2619,6.8922,200.1702,73.6162,36.9980,13.4810
34.93,"","","",209.2175,6.8922,199.9869,73.5222,36.9990,13.4970
34.97,"","","",209.2257,6.9829,199.8430,73.4282,36.9980,13.5340
35.00,"","","",209.2112,7.0736,199.7020,73.4282,36.9990,13.5420
35.03,"","","",209.1803,7.1643,199.5713,73.3341,37.0000,13.5390
35.07,"","","",209.1867,7.1643,199.4190,73.2401,37.0010,13.5210
35.10,"","","",209.1939,7.0736,199.2253,73.2401,37.0020,13.4630
35.13,"","","",209.1640,7.0736,199.0552,73.2401,37.0010,13.4440
35.17,"","","",209.1168,7.1643,198.9621,73.1461,37.0010,13.4420
35.20,"","","",209.1168,7.2550,198.8070,73.2401,37.0000,13.4420
35.23,"","","",209.1314,7.2550,198.6321,73.2401,37.0020,13.4080
35.27,"","","",209.1332,7.2550,198.4497,73.4282,37.0000,13.4190
35.30,"","","",209.1096,7.2550,198.2955,73.6162,37.0000,13.4020
35.33,"","","",209.0996,7.2550,198.1686,73.7102,37.0000,13.3900
35.37,"","","",209.1051,7.2550,198.0191,73.8042,36.9980,13.4290
35.40,"","","",209.1032,7.2550,197.8903,73.8982,36.9990,13.4540
35.43,"","","",209.0760,7.2550,197.7605,73.9923,37.0000,13.4460
35.47,"","","",209.0352,7.1643,197.5998,73.9923,37.0010,13.4020
35.50,"","","",209.0171,7.0736,197.4352,73.9923,37.0010,13.3860
35.53,"","","",208.9971,6.9829,197.2933,73.9923,37.0010,13.3510
35.57,"","","",209.0080,6.9829,197.1466,74.0863,37.0010,13.3420
35.60,"","","",209.0026,6.8922,197.0056,73.9923,36.9990,13.3610
35.63,"","","",209.0098,6.8016,196.8570,73.9923,36.9990,13.3680
35.67,"","","",208.9826,6.8016,196.6944,73.9923,37.0010,13.3350
35.70,"","","",208.9618,6.7109,196.5157,74.0863,37.0010,13.3050
35.73,"","","",208.9545,6.6202,196.3409,74.2743,37.0020,13.2780
35.77,"","","",208.9772,6.5295,196.1820,74.4624,37.0010,13.2510
35.80,"","","",208.9654,6.4388,196.0212,74.6504,36.9990,13.3010
35.83,"","","",208.9282,6.3481,195.9084,74.8384,36.9980,13.3350
35.87,"","","",208.9046,6.3481,195.7570,74.9324,36.9990,13.3590
35.90,"","","",208.8901,6.3481,195.6461,75.1205,36.9980,13.3790
35.93,"","","",208.8656,6.2574,195.5492,75.0265,36.9980,13.4320
35.97,"","","",208.8620,6.3481,195.3950,74.9324,36.9980,13.4430
36.00,"","","",208.8484,6.3481,195.2587,75.0265,36.9980,13.4870
36.03,"","","",208.8430,6.3481,195.0876,75.0265,36.9990,13.4890
36.07,"","","",208.8493,6.2574,194.9541,75.0265,37.0000,13.5020
36.10,"","","",208.8548,6.1667,194.8178,74.8384,37.0000,13.4890
36.13,"","","",208.7813,6.0761,194.6589,74.7444,37.0020,13.4490
36.17,"","","",208.7269,6.0761,194.4812,74.6504,37.0010,13.4220
36.20,"","","",208.7224,6.0761,194.3054,74.4624,37.0030,13.3640
36.23,"","","",208.7142,6.1667,194.2104,74.3683,37.0020,13.3720
